X_1,Y_1,X_2,Y_2:U_0,D_0,L_0,R_0,U_1,D_1,L_1,R_1
2,0,2,0:0.299390774586597,0.15839860748476936,0.0,0.5422106179286336,0.44299390774586594,0.4395126196692776,0.0,0.1174934725848564
2,1,2,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,2,2,0:0.0,0.0,1.0,0.0,0.9686684073107049,0.031331592689295036,0.0,0.0
2,3,2,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,4,2,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0,2,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,1,2,0:1.0,0.0,0.0,0.0,0.9843342036553525,0.015665796344647518,0.0,0.0
3,2,2,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,3,2,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,4,2,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,2,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,2,1:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,2,1:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,2,1:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,4,2,1:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,2,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,2,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2,2,1:0.0,0.7188859878154917,0.28111401218450827,0.0,0.008703220191470844,0.3516100957354221,0.6327241079199304,0.006962576153176675
1,3,2,1:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
