X_1,Y_1,X_2,Y_2,U1,D1,L1,R1,S1,U2,D2,L2,R2,S2
1,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,2,0.0,1.0,0.0,0.0,0.0,0.6272222222222222,0.0,0.0,0.37277777777777776,0.0
2,0,0,2,0.0,1.0,0.0,0.0,0.0,0.6088888888888889,0.0,0.0,0.39111111111111113,0.0
0,1,0,2,0.0,0.0,0.0,0.9944444444444445,0.005555555555555556,0.021111111111111112,0.0,0.0,0.9788888888888889,0.0
1,1,0,2,0.0,0.06888888888888889,0.14555555555555555,0.0,0.7855555555555556,0.16666666666666666,0.0,0.0,0.13777777777777778,0.6955555555555556
2,1,0,2,0.0,0.0,1.0,0.0,0.0,0.6288888888888889,0.0,0.0,0.3711111111111111,0.0
0,2,0,2,0.4166666666666667,0.0,0.0,0.36833333333333335,0.215,0.2594444444444444,0.0,0.0,0.24388888888888888,0.49666666666666665
1,2,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2,0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,2,0.0,0.5883333333333334,0.0,0.4116666666666667,0.0,1.0,0.0,0.0,0.0,0.0
1,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,2,0.0,0.07722222222222222,0.0,0.0,0.9227777777777778,0.0,0.0,0.5505555555555556,0.32722222222222225,0.12222222222222222
2,1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
